postal_code,yelp_1,yelp_2,yelp_3,yelp_4,total_restaurants,review_count,stars,creditcard,bikeparking,outdoorseating,appointmentonly,goodforkids,perc_yelp_1,perc_yelp_2,perc_yelp_3,perc_yelp_4,city,agi,costindex,A02650,A00200,A00300,A00600,A00650,A01000,agi_1,agi_2,agi_3,agi_4,agi_5,agi_6,affluence,medianincome,zillowmeanprice19,zillowmeanprice18,whole_foods,core_power,trader_joes
44106,56,77,17,2,152,58.32236842,3.618421053,0.980263158,0.907894737,0.453947368,0.026315789,0.776315789,0.368421053,0.506578947,0.111842105,0.013157895,Cleveland,558465,73.47,571644,358317,4506,34120,28417,24849,3890,2010,880,400,620,510,2,28835,124.0311784,119.6383841,0,0,0
44107,7,3,0,0,10,42.7,3.5,1,0.9,0.1,0,0.9,0.7,0.3,0,0,Cleveland,1536917,73.47,1563939,1212596,5797,27606,22224,28578,9020,8350,4540,2300,2640,750,2,44345,137.287083,129.7916141,0,0,0
44109,51,45,6,0,102,24.17647059,3.647058824,0.931372549,0.784313725,0.147058824,0,0.911764706,0.5,0.441176471,0.058823529,0,Cleveland,560611,73.47,565237,473634,1281,2068,1589,1903,9030,5230,1930,760,530,30,1,30614,63.90420351,62.15500619,0,0,0
44111,73,66,5,1,145,22.90344828,3.589655172,0.951724138,0.827586207,0.089655172,0.020689655,0.889655172,0.503448276,0.455172414,0.034482759,0.006896552,Cleveland,761929,73.47,769366,623168,2586,4830,3710,4877,8640,6000,2610,1240,960,110,2,42117,79.19483341,75.41945294,0,0,0
44112,3,7,3,0,13,5.923076923,3.576923077,0.923076923,0.538461538,0,0.153846154,0.846153846,0.230769231,0.538461538,0.230769231,0,Cleveland,216870,73.47,218362,159168,285,509,304,278,4760,2110,600,220,160,0,1,27087,34.22327899,32.3076049,0,0,0
44113,132,265,35,5,437,75.38443936,3.848970252,0.963386728,0.901601831,0.421052632,0.038901602,0.691075515,0.302059497,0.606407323,0.080091533,0.011441648,Cleveland,564061,73.47,575041,454945,1406,9750,8245,11290,2760,2240,1540,690,810,390,2,30283,223.9886762,214.4305737,0,0,0
44116,3,0,0,0,3,13,3.166666667,1,1,0,0,1,1,0,0,0,Cleveland,1225094,73.47,1245756,735868,15170,61085,50788,94246,3080,2200,1790,1180,2170,1150,3,65857,159.5037273,153.0611326,1,0,0
44117,1,0,0,0,1,13,4,1,1,0,0,1,1,0,0,0,Cleveland,163173,73.47,164417,125503,481,912,647,505,2090,1370,590,280,200,0,2,31078,59.36666631,59.53507145,0,0,0
44118,22,24,8,0,54,23.27777778,3.574074074,0.925925926,0.907407407,0.203703704,0.055555556,0.925925926,0.407407407,0.444444444,0.148148148,0,Cleveland,1325924,73.47,1350440,875206,8995,42285,35632,44204,6120,4190,2650,1630,2450,890,2,58934,95.57139693,90.27954215,1,0,0
44119,13,10,1,0,24,24.70833333,3.9375,0.791666667,0.791666667,0.208333333,0.083333333,0.791666667,0.541666667,0.416666667,0.041666667,0,Cleveland,242516,73.47,245196,192892,856,2625,2017,1763,2590,2010,880,370,310,40,2,41491,59.7396485,59.43232115,0,0,0
44120,13,32,8,2,55,39.36363636,3.718181818,0.945454545,0.909090909,0.381818182,0.018181818,0.727272727,0.236363636,0.581818182,0.145454545,0.036363636,Cleveland,937985,73.47,954608,654322,5405,32146,26688,45964,7120,4030,1470,780,1110,800,2,40988,75.8388746,77.50490875,0,0,0
44121,17,19,3,1,40,16.275,3.5625,0.875,0.625,0.075,0,0.9,0.425,0.475,0.075,0.025,Cleveland,742368,73.47,751710,563534,3411,9893,7527,6958,6260,4640,2580,1330,1310,170,2,52603,68.84364646,66.47251739,0,0,0
44122,2,4,2,1,9,47.22222222,3,1,0.666666667,0,0,1,0.222222222,0.444444444,0.222222222,0.111111111,Cleveland,2125214,73.47,2168889,1204376,27888,113220,92550,174661,4750,3130,2180,1500,2790,2500,3,78989,118.6543955,116.2632754,1,0,1
44123,2,0,0,0,2,8,2.5,1,0.5,0,0,1,1,0,0,0,Cleveland,321100,73.47,323971,262034,1182,2536,1952,1327,3810,2860,1060,490,370,50,2,42198,63.06783994,60.02878979,0,0,0
44124,31,33,7,4,75,18.58666667,3.386666667,0.986666667,0.653333333,0.04,0.053333333,0.973333333,0.413333333,0.44,0.093333333,0.053333333,Cleveland,1961971,73.47,1997078,1190883,20972,111584,95733,134733,6080,5040,3560,2250,2710,1500,2,67656,113.2670499,106.4437167,0,0,0
44125,8,7,1,0,16,10.5625,3.59375,0.875,0.9375,0.0625,0,0.9375,0.5,0.4375,0.0625,0,Cleveland,541856,73.47,546698,435724,2716,2984,2234,3602,5820,4550,1930,870,680,60,2,45439,60.41345217,59.13529639,0,0,0
44126,11,9,3,0,23,14.39130435,3.304347826,0.913043478,0.826086957,0.173913043,0.043478261,0.913043478,0.47826087,0.391304348,0.130434783,0,Cleveland,590373,73.47,598151,435320,3916,11044,8528,11758,2770,2290,1730,1090,1260,270,2,54496,131.4278962,123.943875,0,0,0
