,address,type,price,features,labels
1406,"4923 W Magdalena Ln, Laveen, AZ 85339",House for rent,"$1,811/mo","['4', '2', '2,955']","['sqft', 'bds', 'ba']"
1407,"Jamboree Plan, Aspire at Montana Vista",New construction,"$259,990+","['4', '3', '1,990']","['sqft', 'bds', 'ba']"
1408,"18008 W Carol Ave, Waddell, AZ 85355",House for sale,"$249,900","['4', '3', '1,818']","['sqft', 'bds', 'ba']"
1409,"10203 N 185th Ln, Waddell, AZ 85355",House for sale,"$334,900","['3', '2.5', '2,198']","['sqft', 'bds', 'ba']"
1410,"9815 N 183rd Dr, Waddell, AZ 85355",House for sale,"$438,000","['4', '3.5', '4,316']","['sqft', 'bds', 'ba']"
1411,"19224 W Alice Ct, Waddell, AZ 85355",For sale by owner,"$87,000","['Studio', '--', '--']","['sqft', 'ba']"
1412,"Allegro Plan, Ironwood at White Tank Foothills",New construction,"$279,990+","['3', '2', '2,131']","['sqft', 'bds', 'ba']"
1413,"18218 W Vogel Ave, Waddell, AZ 85355",House for sale,"$245,000","['3', '2', '1,681']","['sqft', 'bds', 'ba']"
1414,"Eclipse Plan, Hawthorn at White Tank Foothills",New construction,"$254,990+","['4', '2', '1,912']","['sqft', 'bds', 'ba']"
1415,"Bailey Plan, Ironwood at White Tank Foothills",New construction,"$309,990+","['4', '3', '2,563']","['sqft', 'bds', 'ba']"
1416,"Jubilee Plan, Hawthorn at White Tank Foothills",New construction,"$263,990+","['4', '3', '2,027']","['sqft', 'bds', 'ba']"
1417,"18120 W Ruth Ave, Waddell, AZ 85355",House for sale,"$418,900","['5', '4.1', '3,938']","['sqft', 'bds', 'ba']"
1418,"Emerald Plan, Forté",New construction,"$327,950+","['4', '3', '3,185']","['sqft', 'bds', 'ba']"
1419,"18237 W Sunnyslope Ln, Waddell, AZ 85355",House for sale,"$249,900","['3', '2', '1,738']","['sqft', 'bds', 'ba']"
1420,"Bailey Plus Plan, Ironwood at White Tank Foothills",New construction,"$314,990+","['5', '3', '2,722']","['sqft', 'bds', 'ba']"
1421,"Mayfair Plan, Hawthorn at White Tank Foothills",New construction,"$230,990+","['3', '2', '1,296']","['sqft', 'bds', 'ba']"
1422,"Crystal Plan, Forté",New construction,"$295,950+","['4', '3', '2,323']","['sqft', 'bds', 'ba']"
1423,"Carter Plan, Valencia",New construction,"$365,950+","['4', '2.5', '2,855']","['sqft', 'bds', 'ba']"
1424,"18435 W Palo Verde Ave, Waddell, AZ 85355",House for sale,"$415,000","['4', '3', '4,350']","['sqft', 'bds', 'ba']"
1425,"Amber Plan, Forté",New construction,"$279,950+","['3', '2', '2,016']","['sqft', 'bds', 'ba']"
1426,"Eagar Plan, Avanti",New construction,"$266,950+","['4', '3', '2,040']","['sqft', 'bds', 'ba']"
1427,"Flagstaff Plan, Avanti",New construction,"$292,950+","['5', '3', '2,506']","['sqft', 'bds', 'ba']"
1428,"Amber Plan, Ironwood at White Tank Foothills",New construction,"$299,990+","['4', '3', '2,481']","['sqft', 'bds', 'ba']"
1429,"15915 W Deanne Dr # 102, Waddell, AZ 85355",Lot / Land for sale,"$124,950",['0.8'],['acres lot']
1430,"Atwood Plan, Valencia",New construction,"$323,950+","['3', '2', '2,134']","['sqft', 'bds', 'ba']"
1431,"The Joyce - Phoenix Plan, Sonoran Ridge Estates",New construction,"$480,490+","['3', '4', '3,061']","['sqft', 'bds', 'ba']"
1432,"Residences at Stadium Village | 16485 N Stadium Way, Surprise, AZ",Residences at Stadium Village,,"['$912+', '$1,212+', '$1,670+']","['2 bds', '1 bd', '3 bds']"
1433,"15964 W Lundberg St, Surprise, AZ 85374",House for sale,"$299,990","['3', '2', '1,671']","['sqft', 'bds', 'ba']"
1434,"15713 W Lundberg St, Surprise, AZ 85374",House for sale,"$189,900","['2', '2', '870']","['sqft', 'bds', 'ba']"
1435,"14825 W Honeysuckle Ln, Surprise, AZ 85374",House for sale,"$225,000","['3', '2', '1,685']","['sqft', 'bds', 'ba']"
1436,"16167 N 158th Dr, Surprise, AZ 85374",House for sale,"$267,500","['3', '2', '2,059']","['sqft', 'bds', 'ba']"
1437,"17326 N 170th Ln, Surprise, AZ 85374",House for sale,"$239,500","['3', '2', '1,430']","['sqft', 'bds', 'ba']"
1438,"16129 W Monte Cristo Ave, Surprise, AZ 85374",House for sale,"$295,000","['3', '3', '2,303']","['sqft', 'bds', 'ba']"
1439,"14575 W Mountain View Blvd UNIT 12204, Surprise, AZ 85374",Apartment for sale,"$145,000","['1', '1', '1,034']","['bd', 'sqft', 'ba']"
1440,"17767 N Cornerstone Trl, Surprise, AZ 85374",House for rent,"$1,550/mo","['3', '2', '1,219']","['sqft', 'bds', 'ba']"
1441,"W Post Dr, Surprise, AZ 85374",House for rent,"$1,350/mo","['3', '2', '1,543']","['sqft', 'bds', 'ba']"
1442,"14937 W Skyhawk Way, Surprise, AZ 85374",House for rent,"$1,365/mo","['4', '2', '1,419']","['sqft', 'bds', 'ba']"
1443,"15252 W Doll Ln, Surprise, AZ 85374",House for sale,"$238,700","['4', '2', '1,670']","['sqft', 'bds', 'ba']"
1444,"16705 N 157th Ave, Surprise, AZ 85374",House for rent,"$1,650/mo","['2', '2', '1,000']","['sqft', 'bds', 'ba']"
1445,"20238 N Windsong Dr, Surprise, AZ 85374",House for sale,"$244,900","['2', '2', '1,127']","['sqft', 'bds', 'ba']"
1446,"13381 W Ocotillo Ln, Surprise, AZ 85374",Coming soon,"$222,900","['3', '2', '1,280']","['sqft', 'bds', 'ba']"
1447,"17622 N Kimberly Way, Surprise, AZ 85374",House for rent,"$1,900/mo","['4', '2', '2,337']","['sqft', 'bds', 'ba']"
1448,"16713 N 159th Ave, Surprise, AZ 85374",House for sale,"$219,900","['3', '2', '1,320']","['sqft', 'bds', 'ba']"
1449,"16192 N 159th Ave, Surprise, AZ 85374",House for sale,"$274,900","['3', '2', '2,214']","['sqft', 'bds', 'ba']"
1450,"13837 W Fargo Dr, Surprise, AZ 85374",House for sale,"$229,900","['3', '2', '1,627']","['sqft', 'bds', 'ba']"
1451,"13525 W Ocotillo Ln, Surprise, AZ 85374",House for sale,"$225,000","['3', '2', '1,498']","['sqft', 'bds', 'ba']"
1452,"17975 W Sammy Way, Surprise, AZ 85374",House for sale,"$359,000","['2', '2', '2,334']","['sqft', 'bds', 'ba']"
1453,"18508 W Sunbelt Dr, Surprise, AZ 85374",House for rent,"$1,595/mo","['4', '2.5', '1,898']","['sqft', 'bds', 'ba']"
1454,"17216 N Wavyleaf Ave, Surprise, AZ 85374",House for rent,"$1,250/mo","['3', '2', '1,234']","['sqft', 'bds', 'ba']"
1455,"17012 W Windermere Way, Surprise, AZ 85374",House for sale,"$279,000","['4', '3', '1,689']","['sqft', 'bds', 'ba']"
1456,"21465 N 79th Dr, Peoria, AZ 85382",House for rent,"$1,350/mo","['3', '2', '1,520']","['sqft', 'bds', 'ba']"
1457,"21427 N 87th Dr, Peoria, AZ 85382",House for rent,"$1,850/mo","['4', '2', '1,903']","['sqft', 'bds', 'ba']"
1458,"15802 N 74th Dr, Peoria, AZ 85382",Coming soon,"$245,000","['3', '2.5', '1,564']","['sqft', 'bds', 'ba']"
1459,"17431 N 91st Dr, Peoria, AZ 85382",House for sale,"$255,000","['3', '2.5', '1,588']","['sqft', 'bds', 'ba']"
1460,"Enclave at Arrowhead | 8092 W Paradise Ln, Peoria, AZ",Enclave at Arrowhead,,"['$1,230+', '$1,475+']","['2 bds', '1 bd']"
1461,"The Marquis at Arrowhead | 17374 N 89th Ave, Peoria, AZ",The Marquis at Arrowhead,,"['$1,097+', '$1,275+', '$1,613']","['2 bds', '1 bd', '3 bds']"
1462,"6939 W Carol Ann Way, Peoria, AZ 85382",Home for sale,"$179,900","['3', '2', '1,624']","['sqft', 'bds', 'ba']"
1463,"9530 W Ross Ave, Peoria, AZ 85382",House for sale,"$345,000","['3', '2', '1,823']","['sqft', 'bds', 'ba']"
1464,"Furnished Studio - Phoenix - Peoria | 7345 W Bell Rd, Peoria, AZ",Furnished Studio - Phoenix - Peoria,,"['$1,207+']",['Studio']
1465,"Artessa | 7100 W Grandview Rd, Peoria, AZ",Artessa,,"['$1,115+', '$1,400+', '$1,790+']","['2 bds', '1 bd', '3 bds']"
1466,"Tuscany Ridge | 8203 W Oraibi Dr, Peoria, AZ",Tuscany Ridge,,"['$1,010+', '$1,200+']","['2 bds', '1 bd']"
1467,"8407 W Salter Dr, Peoria, AZ 85382",House for rent,"$1,275/mo","['2', '2', '1,091']","['sqft', 'bds', 'ba']"
1468,"8828 W Adam Ave, Peoria, AZ 85382",House for sale,"$265,000","['2', '2', '1,441']","['sqft', 'bds', 'ba']"
1469,"8362 W Fullam St, Peoria, AZ 85382",House for sale,"$375,000","['4', '2.5', '2,302']","['sqft', 'bds', 'ba']"
1470,"10339 W Potter Dr, Peoria, AZ 85382",House for rent,"$1,399/mo","['3', '2', '1,409']","['sqft', 'bds', 'ba']"
1471,"17960 N 87th Dr, Peoria, AZ 85382",Coming soon,"$250,000","['3', '2', '1,434']","['sqft', 'bds', 'ba']"
1472,"10629 W Ross Ave, Peoria, AZ 85382",For sale by owner,"$247,000","['3', '2', '1,320']","['sqft', 'bds', 'ba']"
1473,"16000 N 74th Dr, Peoria, AZ 85382",House for sale,"$237,000","['3', '2', '1,288']","['sqft', 'bds', 'ba']"
1474,"8643 W Lockland Ct, Peoria, AZ 85382",House for rent,"$1,509/mo","['3', '2', '1,518']","['sqft', 'bds', 'ba']"
1475,"8415 W Alex Ave, Peoria, AZ 85382",House for sale,"$320,000","['4', '2', '2,702']","['sqft', 'bds', 'ba']"
1476,"8175 W Marco Polo Rd, Peoria, AZ 85382",House for rent,"$1,595/mo","['3', '2', '1,536']","['sqft', 'bds', 'ba']"
