,address,type,price,features,labels
1761,"2202 Collins Dr # 102, Las Vegas, NM 87701",Townhouse for sale,"$65,000","['2', '1', '--']","['sqft', 'ba', 'bds']"
1762,"421 Blanchard St, Las Vegas, NM 87701",House for sale,"$77,500","['1', '1', '1,373']","['sqft', 'ba', 'bd']"
1763,"712 Dalbey Dr, Las Vegas, NM 87701",Accepting Backups,"$90,000","['2', '2', '1,600']","['sqft', 'ba', 'bds']"
1764,"20 Jackson Hole Rd, Angel Fire, NM 87701",Condo for sale,"$90,000","['2', '2', '700']","['sqft', 'ba', 'bds']"
1765,"10 Sheridan Rd, Las Vegas, NM 87701",House for rent,"$2,200/mo","['3', '2.5', '2,500']","['sqft', 'ba', 'bds']"
1766,"511 9th St, Las Vegas, NM 87701",Apartment for sale,"$395,000","['Studio', '--', '3,000']","['sqft', 'ba']"
1767,"727 Terrace Dr, Las Vegas, NM 87701",House for sale,"$250,000","['4', '2', '1,900']","['sqft', 'ba', 'bds']"
1768,"923 Gallinas St, Las Vegas, NM 87701",House for sale,"$168,000","['2', '2', '1,563']","['sqft', 'ba', 'bds']"
1769,"Rancho Conchas, Las Vegas, NM 87701",Lot / Land for sale,"$1,146,000","['3,140']",['sqft lot']
1770,"1323 4th St, Las Vegas, NM 87701",Apartment for sale,"$174,500","['Studio', '--', '--']","['sqft', 'ba']"
1771,"1151 Grand Ave, Las Vegas, NM 87701",Townhouse for sale,"$119,500","['2', '2', '1,374']","['sqft', 'ba', 'bds']"
1772,"1137 Grand Ave, Las Vegas, NM 87701",Townhouse for sale,"$119,500","['2', '2', '998']","['sqft', 'ba', 'bds']"
1773,"26 Mesteno Rd, Las Vegas, NM 87701",For sale by owner,"$355,000","['3', '3', '1,792']","['sqft', 'ba', 'bds']"
1774,"386 State Highway 281, Las Vegas, NM 87701",Home for sale,"$75,000","['3', '2', '1,848']","['sqft', 'ba', 'bds']"
1775,"21.58 Ac Lakeview Dr, Las Vegas, NM 87701",Lot / Land for sale,"$85,000",['21.58'],['acres lot']
1776,"3122 Webster Cir, North Las Vegas, NV 89030",House for sale,"$370,000","['4', '4', '3,023']","['sqft', 'ba', 'bds']"
1777,"1601 Patricia St, North Las Vegas, NV 89030",House for sale,"$225,000","['3', '2', '958']","['sqft', 'ba', 'bds']"
1778,"3100 Belmont St, North Las Vegas, NV 89030",Auction,$--,"['2', '2', '1,535']","['sqft', 'ba', 'bds']"
1779,"3716 Canoga Ave, North Las Vegas, NV 89030",Auction,$--,"['4', '2', '1,560']","['sqft', 'ba', 'bds']"
